FarmID,category,Crop,State,District,Sub-District,SDate,HDate,CropCoveredArea,CHeight,CNext,CLast,CTransp,IrriType,IrriSource,IrriCount,WaterCov,ExpYield,Season,geometry
235657,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-02-12 0:00:00,2024-05-29 0:00:00,94,56,Lentil,Pea,Transplanting,Flood,Canal,4,91,17,Rabi,"POLYGON ((78.17880977719372 17.94164703772477, 78.17894783244434 17.94168695290333, 78.17901777555538 17.94149506709081, 78.1788965652425 17.94144599705478, 78.17880977719372 17.94164703772477))"
861614,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-06-12 0:00:00,2024-04-15 0:00:00,89,59,Lentil,Pea,Transplanting,Flood,Canal,3,94,18,Rabi,"POLYGON ((78.17585715256335 17.933051358951367, 78.17604610882148 17.932929782444198, 78.1759289266459 17.93267784076669, 78.17572385783862 17.932805276382638, 78.17585715256335 17.933051358951367))"
470755,Diseased,Paddy,Telangana,Medak,Kowdipally,2023-12-28 0:00:00,2024-05-14 0:00:00,94,72,Pea,Lentil,Transplanting,Flood,Groundwater,6,85,18,Rabi,"POLYGON ((78.14917989790295 17.911979806615513, 78.14922530599598 17.91207867907616, 78.1493930229848 17.912005440216422, 78.14932857278822 17.911899243869797, 78.14917989790295 17.911979806615513))"
618347,Diseased,Paddy,Telangana,Medak,Chilipched,2023-09-11 0:00:00,2024-05-13 0:00:00,92,51,Lentil,Pea,Transplanting,Flood,Groundwater,5,85,19,Rabi,"POLYGON ((78.11398349907756 17.8912026744958, 78.1141175261909 17.89118070283788, 78.11410873752772 17.89099907046572, 78.1139725132486 17.891017380180656, 78.11398349907756 17.8912026744958))"
888798,Healthy,Paddy,Telangana,Medak,Chilipched,2023-12-24 0:00:00,2024-01-04 0:00:00,93,75,Lentil,Pea,Transplanting,Flood,Canal,6,86,18,Rabi,"POLYGON ((78.11867005371231 17.854679187531957, 78.1190091496329 17.854618399278372, 78.11899523424955 17.85445580900975, 78.1188663338564 17.854496822771203, 78.11865101160878 17.854530512646683, 78.11867005371231 17.854679187531957))"
410620,Healthy,Paddy,Telangana,Medak,Chilipched,2023-12-20 0:00:00,2024-04-28 0:00:00,96,62,Lentil,Pea,Transplanting,Flood,Groundwater,4,91,15,Rabi,"POLYGON ((78.15072816739787 17.8138719596619, 78.15110974185711 17.813847058449586, 78.15110461513693 17.81372767910821, 78.15072084351189 17.81378407303021, 78.15072816739787 17.8138719596619))"
480934,Healthy,Paddy,Telangana,Medak,Chilipched,2023-12-18 0:00:00,2024-04-20 0:00:00,92,64,Lentil,Pea,Transplanting,Flood,Canal,6,92,15,Rabi,"POLYGON ((78.15484785325823 17.811794905599676, 78.15499140142332 17.81174583556365, 78.15497382409698 17.811385500373728, 78.15481929010294 17.811420655026403, 78.15478779739324 17.811594231123987, 78.15480757188537 17.81168944164165, 78.15484785325823 17.811794905599676))"
605358,Healthy,Paddy,Telangana,Medak,Narsapur,2023-12-11 0:00:00,2024-04-19 0:00:00,89,99,Pea,Lentil,Transplanting,Flood,Canal,6,82,20,Rabi,"POLYGON ((78.16486692927072 17.819599970882184, 78.16502073087618 17.819616083431324, 78.16502512520776 17.819425662396, 78.16489402764883 17.81941980328722, 78.16486692927072 17.819599970882184))"
408127,Healthy,Paddy,Telangana,Medak,Chilipched,2023-01-11 0:00:00,2024-05-20 0:00:00,80,94,Lentil,Pea,Transplanting,Flood,Canal,5,95,16,Rabi,"POLYGON ((78.16767344237596 17.82043342910602, 78.16778623021995 17.820474442867475, 78.16787411685164 17.820300134381295, 78.16775620228746 17.820266444505815, 78.16767344237596 17.82043342910602))"
1326594,Healthy,Paddy,Telangana,Medak,Chilipched,2023-12-23 0:00:00,2024-05-24 0:00:00,80,50,Pea,Lentil,Transplanting,Flood,Canal,4,80,18,Rabi,"POLYGON ((78.17110834489776 17.821980966212333, 78.17125335784004 17.82197437471496, 78.17124530156548 17.821811052057736, 78.17109296473721 17.82181251683493, 78.17110834489776 17.821980966212333))"
479848,Stressed,Paddy,Telangana,Medak,Chilipched,2023-11-11 0:00:00,2024-06-04 0:00:00,94,61,Lentil,Pea,Transplanting,Flood,Canal,5,82,16,Rabi,"POLYGON ((78.17111566878373 17.82885077125597, 78.17126947038918 17.828874940079682, 78.17127386472076 17.82875995506989, 78.1712636112804 17.82870575831368, 78.17113764044164 17.82869477248472, 78.17111566878373 17.82885077125597))"
703710,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-11-11 0:00:00,2024-07-05 0:00:00,95,84,Lentil,Pea,Transplanting,Flood,Groundwater,3,94,17,Rabi,"POLYGON ((78.16924368352878 17.837709743730155, 78.1694648648852 17.837646758310775, 78.16944655517027 17.8374988158141, 78.16942165395795 17.837441689503503, 78.169350612264 17.837452675332464, 78.16919754304715 17.837489294762335, 78.16921658515068 17.837613800823895, 78.16924368352878 17.837709743730155))"
909508,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-01-11 0:00:00,2024-05-19 0:00:00,91,60,Pea,Lentil,Transplanting,Flood,Canal,4,86,15,Rabi,"POLYGON ((78.18151522067255 17.848868782594472, 78.18163716337402 17.848845346159354, 78.1816140931332 17.848760755276356, 78.1815320656103 17.848777966408395, 78.18148848848875 17.84879298037464, 78.18151522067255 17.848868782594472))"
1326598,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-10-12 0:00:00,2024-04-23 0:00:00,85,87,Lentil,Pea,Transplanting,Flood,Canal,5,96,20,Rabi,"POLYGON ((78.1812980674535 17.857053225170436, 78.18151375589544 17.856993169305447, 78.18144710853308 17.8568082411846, 78.18134896846102 17.85685035352895, 78.18123288486834 17.856888803930314, 78.18128415207015 17.856989141168164, 78.1812980674535 17.857053225170436))"
519505,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-04-12 0:00:00,2024-05-28 0:00:00,85,84,Lentil,Pea,Transplanting,Flood,Groundwater,6,81,17,Rabi,"POLYGON ((78.17650787983222 17.865263301347312, 78.17669427273026 17.86522375236305, 78.17666278002058 17.86507544367208, 78.17646723226507 17.865104739215976, 78.17650787983222 17.865263301347312))"
427410,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-02-11 0:00:00,2024-05-30 0:00:00,91,77,Pea,Lentil,Transplanting,Flood,Canal,5,89,20,Rabi,"POLYGON ((78.2062560398815 17.881412469920026, 78.20651310827918 17.881385371541924, 78.20649333378705 17.881102669543328, 78.20627508198503 17.881120246869664, 78.2062553074929 17.881280639972495, 78.2062560398815 17.881412469920026))"
441472,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-02-12 0:00:00,2024-04-16 0:00:00,94,65,Pea,Lentil,Transplanting,Flood,Groundwater,4,97,19,Rabi,"POLYGON ((78.22280655740562 17.892734831441565, 78.22296182378827 17.89273666241306, 78.22299734463525 17.892641818089697, 78.2228127827087 17.8926399871182, 78.22280655740562 17.892734831441565))"
649824,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-11-21 0:00:00,2024-04-24 0:00:00,83,68,Lentil,Pea,Transplanting,Flood,Canal,4,100,15,Rabi,"POLYGON ((78.22721260720756 17.897330569890276, 78.2273371132691 17.89735437251969, 78.22743012662097 17.897321415032806, 78.22737409889329 17.897132824968974, 78.2271708610575 17.897166881038753, 78.22719832562991 17.897259894390626, 78.22721260720756 17.897330569890276))"
396007,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-11-20 0:00:00,2024-05-20 0:00:00,83,86,Pea,Lentil,Transplanting,Flood,Canal,6,98,17,Rabi,"POLYGON ((78.22956430699386 17.90061350177814, 78.22980306567662 17.900578347125464, 78.22979354462485 17.90043846090336, 78.22954013817015 17.900440658069154, 78.22956430699386 17.90061350177814))"
144754,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-12-27 0:00:00,2024-05-22 0:00:00,81,91,Pea,Lentil,Transplanting,Flood,Groundwater,3,85,19,Rabi,"POLYGON ((78.23149268617084 17.904904566570323, 78.23168457198337 17.90481228560705, 78.23159815012887 17.904509076727724, 78.23136671533209 17.904569132592712, 78.23149268617084 17.904904566570323))"
546854,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-09-12 0:00:00,2024-04-30 0:00:00,91,70,Pea,Lentil,Transplanting,Flood,Canal,3,91,17,Rabi,"POLYGON ((78.23701196664085 17.906424272909934, 78.23703174113298 17.906482131609128, 78.23708813505499 17.906558300023256, 78.23714672614277 17.90664472187775, 78.23718114840685 17.906703312965544, 78.23732616134913 17.906663031592686, 78.23731151357718 17.906537793142533, 78.23728954191927 17.90638911825726, 78.23701196664085 17.906424272909934))"
39538,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-03-12 0:00:00,2024-05-26 0:00:00,86,57,Lentil,Pea,Transplanting,Flood,Groundwater,3,85,20,Rabi,"POLYGON ((78.24961710679078 17.94041589249257, 78.24980093632873 17.940360963347764, 78.24974161285233 17.94020203502213, 78.24965299383206 17.940238654452, 78.24954460031964 17.940270147161687, 78.24961710679078 17.94041589249257))"
223527,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-12-27 0:00:00,2024-05-27 0:00:00,99,53,Pea,Lentil,Transplanting,Flood,Canal,4,82,19,Rabi,"POLYGON ((78.25256057656375 17.94250246760657, 78.25269387128847 17.942447538461764, 78.25262722392611 17.942233680991322, 78.25252102757949 17.94225492026065, 78.25256057656375 17.94250246760657))"
327536,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-04-12 0:00:00,2024-04-23 0:00:00,88,88,Pea,Lentil,Transplanting,Flood,Groundwater,4,91,19,Rabi,"POLYGON ((78.26865188643733 17.955344901662002, 78.26900343296407 17.95537053526291, 78.26898146130615 17.955218930823246, 78.26864163299696 17.9552042830513, 78.26865188643733 17.955344901662002))"
804181,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-11-19 0:00:00,2024-05-15 0:00:00,88,67,Lentil,Pea,Transplanting,Flood,Groundwater,6,99,15,Rabi,"POLYGON ((78.27819564225011 17.959569685286112, 78.27835347199286 17.959515488529906, 78.27831941592308 17.959360222147257, 78.27816121998603 17.95940929218328, 78.27819564225011 17.959569685286112))"
353659,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-11-24 0:00:00,2024-05-25 0:00:00,87,60,Pea,Lentil,Transplanting,Flood,Groundwater,6,93,16,Rabi,"POLYGON ((78.27767271679167 17.96220518565386, 78.27805502363951 17.962189073104717, 78.27804037586756 17.96200011684659, 78.27799203822013 17.961815554920044, 78.27763170303021 17.961862427790276, 78.27767271679167 17.96220518565386))"
287538,Healthy,Paddy,Telangana,Medak,Yeldurthy,2023-12-28 0:00:00,2024-01-05 0:00:00,93,93,Pea,Lentil,Transplanting,Flood,Canal,6,95,20,Rabi,"POLYGON ((78.30489706573431 17.96999926510742, 78.30509774021 17.969972899117913, 78.30507137422049 17.969754647315888, 78.3050142479099 17.969546648954225, 78.3048135734342 17.969603775264822, 78.30489706573431 17.96999926510742))"
662903,Healthy,Paddy,Telangana,Medak,Medak,2023-07-11 0:00:00,2024-04-24 0:00:00,80,83,Lentil,Pea,Transplanting,Flood,Groundwater,3,98,20,Rabi,"POLYGON ((78.28297594262547 18.00265793744277, 78.2831927296503 18.002634501007652, 78.28318833531871 18.00258103664004, 78.28319565920468 18.002522445552252, 78.28318027904413 18.002391347993317, 78.28311802601336 18.00239867187929, 78.28301915355271 18.00241478442843, 78.28294884424736 18.00244115041794, 78.28292467542364 18.002488023288173, 78.28292760497804 18.00259055769181, 78.28297008351669 18.002611064572537, 78.28297594262547 18.00265793744277))"
513844,Healthy,Paddy,Telangana,Medak,Medak,2023-12-22 0:00:00,2024-05-30 0:00:00,100,95,Pea,Lentil,Transplanting,Flood,Groundwater,4,91,19,Rabi,"POLYGON ((78.29013650594229 18.006160219715543, 78.29015042132563 18.006218810803336, 78.2901907026985 18.00628838772009, 78.29056568566035 18.006188050482248, 78.29052174234451 18.006089178021597, 78.29013650594229 18.006160219715543))"
864083,Healthy,Paddy,Telangana,Medak,Medak,2023-11-27 0:00:00,2024-09-05 0:00:00,91,60,Pea,Lentil,Transplanting,Flood,Groundwater,4,82,19,Rabi,"POLYGON ((78.28996659178769 18.012426536554926, 78.29015554804582 18.01236355113555, 78.2901614071546 18.01216287665986, 78.29011599906156 18.01205008881586, 78.28983183228577 18.012139440224747, 78.28988090232178 18.012325466928488, 78.28996659178769 18.012426536554926))"
214930,Healthy,Paddy,Telangana,Medak,Medak,2023-11-15 0:00:00,2024-02-05 0:00:00,81,92,Lentil,Pea,Transplanting,Flood,Groundwater,6,83,15,Rabi,"POLYGON ((78.28837511136554 18.015407358146355, 78.28846299799723 18.015536990928094, 78.28879330525466 18.015400766648977, 78.28869955951419 18.015257218483885, 78.28837511136554 18.015407358146355))"
631570,Healthy,Paddy,Telangana,Medak,Medak,2023-05-12 0:00:00,2024-02-04 0:00:00,92,61,Pea,Lentil,Transplanting,Flood,Groundwater,3,91,16,Rabi,"POLYGON ((78.29876917033987 18.02994527180479, 78.29897570392434 18.02993941269601, 78.29898961930769 18.02986031472749, 78.29898815453049 18.0297731604844, 78.2987911419978 18.02977535765019, 78.29873474807579 18.029806117971283, 78.29873621285299 18.029833948737984, 78.29876917033987 18.02994527180479))"
1326617,Healthy,Paddy,Telangana,Medak,Medak,2023-12-11 0:00:00,2024-05-25 0:00:00,83,75,Lentil,Pea,Transplanting,Flood,Groundwater,5,83,20,Rabi,"POLYGON ((78.31262815976852 18.045855681694757, 78.31267356786157 18.045901089787797, 78.31277170793362 18.045974328647535, 78.31295260791718 18.045763400731484, 78.31281491886087 18.04565793677346, 78.31262815976852 18.045855681694757))"
601179,Healthy,Paddy,Telangana,Medak,Medak,2023-11-13 0:00:00,2024-09-05 0:00:00,99,71,Lentil,Pea,Transplanting,Flood,Groundwater,3,96,18,Rabi,"POLYGON ((78.31883442074293 18.051469440293854, 78.31900946161768 18.051483355677203, 78.31920793892758 18.051481890900007, 78.31946354254806 18.05145845446489, 78.31947306359984 18.051316371076993, 78.31929582555927 18.051332483626137, 78.31909075675202 18.051313441522606, 78.31891205393426 18.051287807921696, 78.31883442074293 18.051469440293854))"
740206,Pests,Paddy,Telangana,Medak,Medak,2023-11-13 0:00:00,2024-05-30 0:00:00,97,60,Lentil,Pea,Transplanting,Flood,Groundwater,5,96,18,Rabi,"POLYGON ((78.33067934152871 18.04644525451567, 78.33079872087009 18.046429141966527, 78.33078187593235 18.04617793267762, 78.33068886258047 18.046190383283776, 78.33060170833738 18.0461544962425, 78.33060537028038 18.04620869299871, 78.33064418687604 18.04625336870315, 78.33065077837341 18.046366888935747, 78.33067934152871 18.04644525451567))"
723779,Healthy,Paddy,Telangana,Medak,Medak,2023-10-11 0:00:00,2024-05-24 0:00:00,98,57,Lentil,Pea,Transplanting,Flood,Canal,4,84,16,Rabi,"POLYGON ((78.34110049888119 18.057390069715247, 78.34129018752792 18.057415703316156, 78.34139272193156 18.057431815865296, 78.34147694662026 18.05742815392231, 78.3414945239466 18.0573175632441, 78.34134291950693 18.057289000088804, 78.34126894825859 18.057283873368622, 78.34119497701026 18.057286070534413, 78.34114590697423 18.05726409887649, 78.3411239353163 18.057216493617663, 78.341095372161 18.05722162033784, 78.34108145677766 18.057244324384364, 78.34110049888119 18.057390069715247))"
679528,Healthy,Paddy,Telangana,Medak,Medak,2023-12-25 0:00:00,2024-05-04 0:00:00,95,74,Pea,Lentil,Transplanting,Flood,Groundwater,4,97,17,Rabi,"POLYGON ((78.33214411872359 18.064124382868364, 78.33246783448365 18.064018918910335, 78.33269048061726 18.06389734240317, 78.3326494668558 18.06377283634161, 78.33251324257668 18.06385486386452, 78.33228766688869 18.06395593349096, 78.33213093572884 18.06400427113839, 78.33214411872359 18.064124382868364))"
377607,Healthy,Paddy,Telangana,Medak,Medak,2023-12-11 0:00:00,2024-05-18 0:00:00,93,59,Pea,Lentil,Transplanting,Flood,Canal,4,88,15,Rabi,"POLYGON ((78.32946211167987 18.06363075295371, 78.32963715255465 18.063606584129996, 78.32961884283971 18.063501852560567, 78.32961078656514 18.063433740421008, 78.32961078656514 18.063356107229684, 78.32959906834758 18.06330630480506, 78.32943940763334 18.06336269872706, 78.32944966107371 18.06339419143675, 78.32946284406846 18.06352895093867, 78.32946211167987 18.06363075295371))"
984481,Stressed,Paddy,Telangana,Medak,Medak,2023-11-27 0:00:00,2024-05-28 0:00:00,87,86,Lentil,Pea,Transplanting,Flood,Canal,4,81,16,Rabi,"POLYGON ((78.31208619220654 18.05730657741514, 78.31221655737689 18.05753508265753, 78.3124084431894 18.057426689145114, 78.3122692893559 18.05720843734309, 78.31208619220654 18.05730657741514))"
32683,Healthy,Paddy,Telangana,Medak,Medak,2023-12-25 0:00:00,2024-04-13 0:00:00,91,64,Pea,Lentil,Transplanting,Flood,Groundwater,4,80,18,Rabi,"POLYGON ((78.30338834522378 18.05526650897708, 78.30348282335284 18.055413719085156, 78.30356778043014 18.055372705323702, 78.30345792214052 18.0552035235577, 78.30338834522378 18.05526650897708))"
1326625,Diseased,Paddy,Telangana,Medak,Medak,2023-11-29 0:00:00,2024-04-25 0:00:00,88,84,Lentil,Pea,Transplanting,Flood,Canal,6,94,19,Rabi,"POLYGON ((78.29390391288746 18.040805496121383, 78.29407822137365 18.040775468188887, 78.29407748898505 18.040514737848213, 78.29405039060694 18.04048251274993, 78.29390684244186 18.040523526511382, 78.29390391288746 18.040805496121383))"
1326626,Healthy,Paddy,Telangana,Medak,Medak,2023-11-17 0:00:00,2024-03-05 0:00:00,85,82,Lentil,Pea,Transplanting,Flood,Groundwater,5,88,18,Rabi,"POLYGON ((78.28910823235174 18.03830951578143, 78.28936090641784 18.03820844615499, 78.28930597727305 18.038031940503018, 78.28924885096244 18.03806782754429, 78.28921662586416 18.038048053052158, 78.28913313356405 18.038065630378497, 78.28904304976658 18.038113968025925, 78.28910823235174 18.03830951578143))"
1331837,Healthy,Paddy,Telangana,Medak,Medak,2023-10-12 0:00:00,2024-05-24 0:00:00,97,60,Lentil,Pea,Transplanting,Flood,Groundwater,5,94,19,Rabi,"POLYGON ((78.27614934850929 18.026919408314633, 78.27638078330607 18.027171349992138, 78.27651993713958 18.027058562148138, 78.27639836063241 18.02695090102432, 78.2762892347314 18.026825662574165, 78.27614934850929 18.026919408314633))"
1326627,Healthy,Paddy,Telangana,Medak,Medak,2023-12-30 0:00:00,2024-08-04 0:00:00,81,66,Pea,Lentil,Transplanting,Flood,Canal,6,82,15,Rabi,"POLYGON ((78.26254669508974 17.999301766695204, 78.26260675095473 17.999442385305905, 78.26305790233073 17.999279795037282, 78.26302421245525 17.99916407763889, 78.26297880436222 17.99909962744232, 78.26276055256018 17.99920362662315, 78.26254669508974 17.999301766695204))"
1326628,Healthy,Paddy,Telangana,Medak,Medak,2023-11-12 0:00:00,2024-05-21 0:00:00,87,90,Pea,Lentil,Transplanting,Flood,Canal,6,86,19,Rabi,"POLYGON ((78.2703488308179 17.988359148661416, 78.2704586891075 17.988494640551938, 78.27057880083748 17.98841188064043, 78.27046894254786 17.988280050692897, 78.2703488308179 17.988359148661416))"
462078,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-11-13 0:00:00,2024-04-23 0:00:00,93,55,Pea,Lentil,Transplanting,Flood,Groundwater,5,99,16,Rabi,"POLYGON ((78.25274367371355 17.894526253950872, 78.25287550366109 17.894492564075392, 78.25285353200316 17.8944339729876, 78.25283082795664 17.894365128459444, 78.25282277168208 17.894330706195365, 78.2527019275635 17.89436586084804, 78.25274367371355 17.894526253950872))"
414014,Pests,Paddy,Telangana,Medak,Kowdipally,2023-06-12 0:00:00,2024-04-15 0:00:00,85,72,Pea,Lentil,Transplanting,Flood,Canal,3,86,19,Rabi,"POLYGON ((78.2555673979509 17.892313341803828, 78.2556486930852 17.89226646893359, 78.25557398944828 17.892146357203618, 78.25548317326219 17.892186638576476, 78.2555673979509 17.892313341803828))"
581819,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-08-12 0:00:00,2024-05-05 0:00:00,89,50,Lentil,Pea,Transplanting,Flood,Groundwater,4,99,17,Rabi,"POLYGON ((78.20524058309181 17.878890855979236, 78.20548227132895 17.87882201145108, 78.20541489157799 17.878543703784068, 78.20535483571301 17.87838843740142, 78.20512047136184 17.87844409893482, 78.20520542843913 17.87873851915098, 78.20524058309181 17.878890855979236))"
141707,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-03-12 0:00:00,2024-04-29 0:00:00,87,84,Pea,Lentil,Transplanting,Flood,Groundwater,4,88,16,Rabi,"POLYGON ((78.19061405041313 17.86380365087275, 78.19094801961354 17.863816833867503, 78.19097585038025 17.86365424359888, 78.19103151191365 17.863528272760124, 78.19069754271324 17.863449174791608, 78.19067996538689 17.863539990977685, 78.19061405041313 17.86380365087275))"
576855,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-11-20 0:00:00,2024-04-04 0:00:00,96,83,Pea,Lentil,Transplanting,Flood,Canal,4,96,15,Rabi,"POLYGON ((78.18159248767037 17.838753763675808, 78.18165254353535 17.83884384747329, 78.18170381073718 17.83895883248308, 78.18187811922336 17.838892185120717, 78.18185687995403 17.83882919970134, 78.18177192287673 17.838684186759057, 78.18159248767037 17.838753763675808))"
921944,Healthy,Paddy,Telangana,Medak,Chilipched,2023-12-30 0:00:00,2024-04-30 0:00:00,91,89,Lentil,Pea,Transplanting,Flood,Groundwater,4,83,16,Rabi,"POLYGON ((78.11287759229631 17.85898673106764, 78.11311635097907 17.858796310032314, 78.11302553479298 17.858614677660157, 78.1127955647734 17.85873771894452, 78.11287759229631 17.85898673106764))"
711469,Healthy,Paddy,Telangana,Medak,Chilipched,2023-11-22 0:00:00,2024-03-04 0:00:00,96,57,Pea,Lentil,Transplanting,Flood,Canal,5,84,17,Rabi,"POLYGON ((78.104397264727 17.870474978606488, 78.10455985499561 17.870401739746747, 78.10454667200086 17.87028309279397, 78.10437456068048 17.870325571332618, 78.104397264727 17.870474978606488))"
669935,Healthy,Paddy,Telangana,Medak,Chilipched,2023-12-13 0:00:00,2024-04-30 0:00:00,92,96,Lentil,Pea,Transplanting,Flood,Canal,3,94,15,Rabi,"POLYGON ((78.10623263055211 17.8745609745914, 78.10646992445767 17.874508975000985, 78.10647212162347 17.874487735731662, 78.10644868518834 17.8744203559807, 78.10622310950035 17.87447382034831, 78.10623263055211 17.8745609745914))"
599716,Healthy,Paddy,Telangana,Medak,Chilipched,2023-09-12 0:00:00,2024-05-25 0:00:00,98,67,Pea,Lentil,Transplanting,Flood,Groundwater,6,97,18,Rabi,"POLYGON ((78.10898567928973 17.876057610690196, 78.10902522827399 17.87613451149292, 78.10905452381789 17.876271468160635, 78.10912483312325 17.876274397715026, 78.10930353594101 17.87618284914035, 78.10919587481719 17.875965329726924, 78.10898567928973 17.876057610690196))"
214784,Healthy,Paddy,Telangana,Medak,Chilipched,2023-08-11 0:00:00,2024-11-05 0:00:00,91,51,Lentil,Pea,Transplanting,Flood,Canal,3,88,17,Rabi,"POLYGON ((78.11079028479375 17.881639876579587, 78.11098070582908 17.881687481838416, 78.11100121270981 17.881623764030444, 78.1110297758651 17.8814392021039, 78.11084667871576 17.881393061622262, 78.11079028479375 17.881639876579587))"
1331838,Healthy,Paddy,Telangana,Medak,Chilipched,2023-11-27 0:00:00,2024-04-26 0:00:00,95,63,Lentil,Pea,Transplanting,Flood,Groundwater,4,84,15,Rabi,"POLYGON ((78.11665159073874 17.900394151393268, 78.1168302935565 17.900369250180958, 78.116803927567 17.900272574886102, 78.11664719640716 17.90028649026945, 78.11665159073874 17.900394151393268))"
